code,name,state,total_casos,total_mortes,primeirocaso,ultimoregistro,taxa_mortalidade_cidade,population,mortes_por_100k,casos_por_100k
130150.0,Envira,AM,339933.0,930,2020-03-27,2021-05-23,0.27,,,
130160.0,Fonte Boa,AM,368954.0,8133,2020-03-27,2021-05-23,2.2,17609.0,46186.61,2095258.11
130165.0,Guajará,AM,355434.0,5236,2020-03-27,2021-05-23,1.47,,,
130170.0,Humaitá,AM,1531147.0,29485,2020-03-27,2021-05-23,1.93,55080.0,53531.23,2779860.2
130180.0,Ipixuna,AM,853153.0,3410,2020-03-27,2021-05-23,0.4,,,
130185.0,Iranduba,AM,1447325.0,29650,2020-03-27,2021-05-23,2.05,,,
130190.0,Itacoatiara,AM,1359927.0,49843,2020-03-27,2021-05-23,3.67,101337.0,49185.39,1341984.67
130195.0,Itamarati,AM,212432.0,2242,2020-03-27,2021-05-23,1.06,,,
130200.0,Itapiranga,AM,563269.0,5601,2020-03-27,2021-05-23,0.99,9148.0,61226.5,6157291.21
130210.0,Japurá,AM,196540.0,1093,2020-03-27,2021-05-23,0.56,2755.0,39673.32,7133938.29
130220.0,Juruá,AM,212954.0,2979,2020-03-27,2021-05-23,1.4,14712.0,20248.78,1447485.05
130230.0,Jutaí,AM,275494.0,7439,2020-03-27,2021-05-23,2.7,14317.0,51959.21,1924243.91
130240.0,Lábrea,AM,1239308.0,15306,2020-03-27,2021-05-23,1.24,46069.0,33224.08,2690112.66
130250.0,Manacapuru,AM,1846237.0,72884,2020-03-27,2021-05-23,3.95,97377.0,74847.24,1895968.25
130255.0,Manaquiri,AM,282990.0,8837,2020-03-27,2021-05-23,3.12,,,
130260.0,Manaus,AM,31336779.0,1592844,2020-03-27,2021-05-23,5.08,,,
130270.0,Manicoré,AM,678383.0,14751,2020-03-27,2021-05-23,2.17,55751.0,26458.72,1216808.67
130280.0,Maraã,AM,363709.0,2819,2020-03-27,2021-05-23,0.78,18224.0,15468.61,1995769.32
130290.0,Maués,AM,849878.0,21108,2020-03-27,2021-05-23,2.48,63905.0,33030.28,1329908.46
130300.0,Nhamundá,AM,355668.0,6401,2020-03-27,2021-05-23,1.8,21173.0,30231.9,1679818.64
130310.0,Nova Olinda do Norte,AM,520200.0,12780,2020-03-27,2021-05-23,2.46,,,
130320.0,Novo Airão,AM,369553.0,5556,2020-03-27,2021-05-23,1.5,19454.0,28559.68,1899624.76
130330.0,Novo Aripuanã,AM,355299.0,5860,2020-03-27,2021-05-23,1.65,25644.0,22851.35,1385505.38
130340.0,Parintins,AM,2266669.0,65693,2020-03-27,2021-05-23,2.9,114273.0,57487.77,1983556.05
130350.0,Pauini,AM,566356.0,3264,2020-03-27,2021-05-23,0.58,19426.0,16802.22,2915453.52
130353.0,Presidente Figueiredo,AM,1215869.0,17098,2020-03-27,2021-05-23,1.41,,,
130356.0,Rio Preto da Eva,AM,830812.0,11948,2020-03-27,2021-05-23,1.44,,,
130360.0,Santa Isabel do Rio Negro,AM,738763.0,8740,2020-03-27,2021-05-23,1.18,,,
130370.0,Santo Antônio do Içá,AM,493983.0,10531,2020-03-27,2021-05-23,2.13,21602.0,48750.12,2286746.6
130380.0,São Gabriel da Cachoeira,AM,1863904.0,24629,2020-03-27,2021-05-23,1.32,,,
130390.0,São Paulo de Olivença,AM,859124.0,12421,2020-03-27,2021-05-23,1.45,39299.0,31606.4,2186121.78
130395.0,São Sebastião do Uatumã,AM,290628.0,3176,2020-03-27,2021-05-23,1.09,14020.0,22653.35,2072952.92
